 budget_total ;Audio_TOTAL_Clicks;DD_TOTAL_Impressions;OLV_TOTAL_Clicks;OTT_TOTAL_Impressions;PDM_TOTAL_Impressions;POLV_TOTAL_Clicks;Partnership_TOTAL_Impressions;YT_DD_TOTAL_Clicks;YT_OLV_TOTAL_Impressions;Primary_Search_Impressions;Secondary_Search_Impressions;DOOH_TOTAL_Impressions;Social_TOTAL_Impressions;Facebook_Impressions;profit
 0.41000000000 ;4.52980731170479E-07;10.1344499216468;4.8824116053768E-08;5.98756314248834E-08;4.8186558870444E-07;2.69918199230281E-07;3.39182827145287E-07;8.38851119783333;2.83118946632243E-07;2.87308518972559E-07;4.43967276732489E-07;1.35203042312482E-09;10.8359813796127;11.6410548325133;11705.9961779293
 0.42000000000 ;2.23588216208427E-07;10.3949041461994;3.15796374150387E-08;5.94719727789802E-08;5.16368521763944E-07;2.74322736031788E-07;1.51843658488626E-07;8.44987275264915;2.89847200256061E-07;2.94456907470564E-07;4.51378408077132E-07;1.3945110814406E-10;11.0386472851287;12.116573523026;11889.5275107201
 0.43000000000 ;4.13830603910025E-07;10.6553791485013;1.75990200992918E-07;2.02701652201472E-07;7.60355097083675E-07;3.0948684841658E-08;3.26178602470056E-07;8.5111539039861;4.88880898805617E-07;4.94791769567337E-07;6.90150526488043E-07;1.28753158163647E-07;11.2413210438093;12.5921421911221;12072.0208447936
 0.44000000000 ;0.000000243837874424;10.9158773066533;1.03765147227554E-07;6.26705699680159E-08;5.4265537957785E-07;2.83799723173048E-07;1.69131089428971E-07;8.57235488533676;3.01887613209779E-07;3.11678517746093E-07;4.84486665133542E-07;4.3231892151501E-09;11.4440038851659;13.0677614146082;12253.4823912968
 0.45000000000 ;7.4211871930319E-07;11.1763960102565;4.18657161644872E-07;1.08848448560573E-07;9.67500869474267E-07;2.22452307080653E-07;6.2273735544966E-07;8.63347518968105;3.7844536426114E-07;3.84133999149452E-07;5.79237520064264E-07;3.99871103272033E-08;11.6466946285358;13.5434297074077;12433.9172845212
 0.46000000000 ;6.88294872781492E-07;11.4369373395635;3.70528679702209E-07;8.05908463309512E-08;7.21791325751096E-07;1.79241611292984E-07;5.71264077253747E-07;8.6945152008582;3.48393814726592E-07;3.53892113291662E-07;5.26045615584909E-07;1.24189741854454E-08;11.8493943238882;14.0191492832282;12613.3318333323
 0.47000000000 ;4.19373973990814E-07;11.6975004091258;1.59633607129439E-07;1.88263801711976E-07;8.0598483773492E-07;3.05604415190509E-09;3.23091749490949E-07;8.75547481487237;5.0202867330348E-07;5.08579203339841E-07;7.26810641425659E-07;1.08229730313176E-07;12.0521026179714;14.4949184129782;12791.7313926951
 0.48000000000 ;4.30945532253238E-07;11.9580846849821;1.63148412695546E-07;1.92609599970925E-07;8.31741427546834E-07;2.2781811404587E-09;3.31537595675061E-07;8.81635406594637;5.16413278048884E-07;5.23192554130161E-07;7.49454095765494E-07;1.10288402550658E-07;12.2548191322631;14.9707382651993;12969.1215841992
 0.49000000000 ;4.58860231070203E-07;12.2186924264722;1.78559639506689E-07;1.9557275080893E-07;8.78259863931542E-07;1.12719265387337E-08;3.54875643500578E-07;8.87715257568365;5.31453112849943E-07;5.36307910176589E-07;7.93058374532118E-07;1.12035295677688E-07;12.4575456106903;15.446605336899;13145.5080483902
 0.50000000000 ;8.36284491579669E-07;12.4793209072556;4.61284563824147E-07;7.78303167797237E-08;1.34700604218346E-06;2.37941163057514E-07;6.9622729364446E-07;8.93787051316181;3.78476619430898E-07;3.83806407018724E-07;9.78321559319979E-07;2.38240274735037E-09;12.6602802140219;15.9225229659998;13320.8962441353
 0.51000000000 ;6.96202409366512E-07;12.7399722016996;4.87271882116578E-07;9.59170868295589E-08;7.06731937845245E-07;2.55000952878698E-07;5.90854829446741E-07;8.99850817155943;4.11304993840393E-07;4.17497077848692E-07;6.45116675795726E-07;1.65335471339787E-08;12.8630243233347;16.398490980975;13495.2920738566
 0.52000000000 ;3.65699437279136E-07;13.0006452025313;4.97781008294468E-07;9.73374156275786E-08;7.54623637726368E-07;2.59343649903398E-07;2.81096877632786E-07;9.05906514041729;4.21010285922669E-07;4.28078157372964E-07;6.64338878445991E-07;1.62295403427863E-08;13.0657775220508;16.8745083494617;13668.7007939248
 0.53000000000 ;5.05081748573874E-07;13.2613402485389;1.91244038799199E-07;2.25384824582799E-07;9.88011607200289E-07;6.61813270448075E-09;3.8783797191909E-07;9.11954154494813;6.0639031707337E-07;6.1449761939057E-07;8.87415506493852E-07;1.30185138032425E-07;13.2685398367121;17.350573827134;13841.1278095606
