budget_total;Value;data
0.219;Audio_TOTAL_Clicks;0.0000104673
0.22;Audio_TOTAL_Clicks;0.0000133085
0.221;Audio_TOTAL_Clicks;0.000464931
0.222;Audio_TOTAL_Clicks;0.0000137392
0.223;Audio_TOTAL_Clicks;0.0000137645
0.224;Audio_TOTAL_Clicks;0.0000153981
0.225;Audio_TOTAL_Clicks;0.0000153986
0.226;Audio_TOTAL_Clicks;0.0000137256
0.227;Audio_TOTAL_Clicks;0.000212261
0.228;Audio_TOTAL_Clicks;0.0000146059
0.229;Audio_TOTAL_Clicks;0.0000147134
0.23;Audio_TOTAL_Clicks;0.0000138457
0.231;Audio_TOTAL_Clicks;0.0000137696
0.232;Audio_TOTAL_Clicks;0.0000146519
0.233;Audio_TOTAL_Clicks;0.000408932
0.234;Audio_TOTAL_Clicks;0.0000151595
0.235;Audio_TOTAL_Clicks;0.0000154916
0.236;Audio_TOTAL_Clicks;0.0000166184
0.237;Audio_TOTAL_Clicks;0.0000162001
0.238;Audio_TOTAL_Clicks;0.0000165198
0.239;Audio_TOTAL_Clicks;0.0000179521
0.24;Audio_TOTAL_Clicks;0.0000182587
0.241;Audio_TOTAL_Clicks;0.000012829
0.242;Audio_TOTAL_Clicks;0.0000829779
0.243;Audio_TOTAL_Clicks;0.0000273225
0.244;Audio_TOTAL_Clicks;0.0000147956
0.245;Audio_TOTAL_Clicks;0.0000192084
0.246;Audio_TOTAL_Clicks;0.0000187625
0.247;Audio_TOTAL_Clicks;0.0000229267
0.248;Audio_TOTAL_Clicks;0.0000369972
0.249;Audio_TOTAL_Clicks;0.0000199991
0.25;Audio_TOTAL_Clicks;0.0000254326
0.251;Audio_TOTAL_Clicks;0.0000192114
0.252;Audio_TOTAL_Clicks;0.0000300995
0.253;Audio_TOTAL_Clicks;0.000020512
0.254;Audio_TOTAL_Clicks;0.000028989
0.255;Audio_TOTAL_Clicks;0.0000315242
0.256;Audio_TOTAL_Clicks;0.0000395038
0.257;Audio_TOTAL_Clicks;0.000031423
0.258;Audio_TOTAL_Clicks;0.0000275894
0.259;Audio_TOTAL_Clicks;0.0000291801
0.26;Audio_TOTAL_Clicks;0.0000294505
0.261;Audio_TOTAL_Clicks;0.0000199549
0.262;Audio_TOTAL_Clicks;0.0000289418
0.263;Audio_TOTAL_Clicks;0.0000268806
0.264;Audio_TOTAL_Clicks;0.0000345788
0.265;Audio_TOTAL_Clicks;0.0000433254
0.266;Audio_TOTAL_Clicks;0.0000594091
0.267;Audio_TOTAL_Clicks;0.0000632391
0.268;Audio_TOTAL_Clicks;0.0000481822
0.269;Audio_TOTAL_Clicks;0.0000462934
0.27;Audio_TOTAL_Clicks;0.0000500896
0.271;Audio_TOTAL_Clicks;0.0000502334
0.272;Audio_TOTAL_Clicks;0.0000584845
0.273;Audio_TOTAL_Clicks;0.0000730852
0.274;Audio_TOTAL_Clicks;0.000105305
0.275;Audio_TOTAL_Clicks;0.0000885656
0.276;Audio_TOTAL_Clicks;0.0000834266
0.277;Audio_TOTAL_Clicks;0.0000981043
0.278;Audio_TOTAL_Clicks;0.000108706
0.279;Audio_TOTAL_Clicks;0.000168048
0.28;Audio_TOTAL_Clicks;0.000210299
0.281;Audio_TOTAL_Clicks;0.000170615
0.282;Audio_TOTAL_Clicks;0.000183866
0.283;Audio_TOTAL_Clicks;0.000231288
0.284;Audio_TOTAL_Clicks;0.000407669
0.285;Audio_TOTAL_Clicks;0.000918407
0.286;Audio_TOTAL_Clicks;0.00199284
0.287;Audio_TOTAL_Clicks;0.000665592
0.288;Audio_TOTAL_Clicks;0.004051767
0.289;Audio_TOTAL_Clicks;0.018465228
0.29;Audio_TOTAL_Clicks;0.024544886
0.291;Audio_TOTAL_Clicks;0.030611274
0.292;Audio_TOTAL_Clicks;0.036617997
0.293;Audio_TOTAL_Clicks;0.042587387
0.294;Audio_TOTAL_Clicks;0.048505741
0.295;Audio_TOTAL_Clicks;0.05438406
0.296;Audio_TOTAL_Clicks;0.060233379
0.297;Audio_TOTAL_Clicks;0.066015627
0.298;Audio_TOTAL_Clicks;0.071653895
0.299;Audio_TOTAL_Clicks;0.077495204
0.3;Audio_TOTAL_Clicks;0.081697964
0.301;Audio_TOTAL_Clicks;0.088796039
0.302;Audio_TOTAL_Clicks;0.094373
0.303;Audio_TOTAL_Clicks;0.099924747
0.304;Audio_TOTAL_Clicks;0.105436925
0.305;Audio_TOTAL_Clicks;0.110946919
0.306;Audio_TOTAL_Clicks;0.11634006
0.307;Audio_TOTAL_Clicks;0.121764369
0.308;Audio_TOTAL_Clicks;0.127099234
0.309;Audio_TOTAL_Clicks;0.132424886
0.31;Audio_TOTAL_Clicks;0.137710184
0.311;Audio_TOTAL_Clicks;0.142958608
0.312;Audio_TOTAL_Clicks;0.148180413
0.313;Audio_TOTAL_Clicks;0.153347954
