;IMP_display_hienz_budget;IMP_olv_hienz_budget;IMP_agents_budget;IMP_social_hienz_budget;TV_hienz_grp;TV_sponsor_hienz_grp;Investment;IMP_display_hienz_budget_ROAS;IMP_olv_hienz_budget_ROAS;IMP_agents_budget_ROAS;IMP_social_hienz_budget_ROAS;TV_hienz_grp_ROAS;TV_sponsor_hienz_grp_ROAS
299;578.0333986;816.5065237;635.8367384;597.3011785;834.1108557;699.4102929;299000000;-9.983300725;109.2532618;18.9183692;-0.349410747;118.0554279;50.70514645
300;578.46628;817.3622504;636.312908;597.7484893;836.3050032;699.7704529;300000000;-10.76686001;108.6811252;18.15645399;-1.125755346;118.1525016;49.88522644
301;578.895569;818.2122912;636.7851259;598.192088;838.4957701;700.1269914;301000000;-11.55221548;108.1061456;17.39256297;-1.903955996;118.247885;49.06349568
302;579.3212956;819.0566839;637.2534251;598.6320054;840.6831615;700.4799448;302000000;-12.33935222;107.5283419;16.62671256;-2.683997294;118.3415808;48.23997239
303;579.7434891;819.895466;637.717838;599.0682721;842.8671828;700.8293492;303000000;-13.12825545;106.947733;15.858919;-3.465863964;118.4335914;47.4146746
304;580.162179;820.7286749;638.1783969;599.5009183;845.0478391;701.1752403;304000000;-13.91891051;106.3643374;15.08919844;-4.24954086;118.5239195;46.58762013
305;580.5773943;821.5563475;638.6351337;599.9299741;847.2251356;701.5176533;305000000;-14.71130286;105.7781737;14.31756685;-5.035012957;118.6125678;45.75882667
306;580.9891638;822.3785206;639.0880802;600.3554693;849.3990774;701.8566234;306000000;-15.50541809;105.1892603;13.5440401;-5.822265359;118.6995387;44.92831168
307;581.3975162;823.1952309;639.5372678;600.7774334;851.5696697;702.192185;307000000;-16.3012419;104.5976154;12.76863392;-6.61128329;118.7848349;44.0960925
308;581.8024798;824.0065145;639.9827278;601.1958958;853.7369178;702.5243725;308000000;-17.0987601;104.0032572;11.99136389;-7.402052101;118.8684589;43.26218624
309;582.2040827;824.8124075;640.424491;601.6108855;855.9008267;702.8532197;309000000;-17.89795864;103.4062037;11.2122455;-8.194557259;118.9504133;42.42660987
310;582.6023529;825.6129458;640.8625881;602.0224313;858.0614016;703.1787604;310000000;-18.69882357;102.8064729;10.43129407;-8.988784357;119.0307008;41.58938019
311;582.9973179;826.4081649;641.2970496;602.4305618;860.2186476;703.5010277;311000000;-19.50134107;102.2040824;9.648524824;-9.784719104;119.1093238;40.75051383
