,Audio_TOTAL_Clicks,DD_TOTAL_Impressions,OLV_TOTAL_Clicks,OTT_TOTAL_Impressions,PDM_TOTAL_Impressions,POLV_TOTAL_Clicks,Partnership_TOTAL_Impressions,YT_DD_TOTAL_Clicks,YT_OLV_TOTAL_Impressions,Primary_Search_Impressions,Secondary_Search_Impressions,DOOH_TOTAL_Impressions,Social_TOTAL_Impressions,Facebook_Impressions,Investment,Audio_TOTAL_Clicks_ROAS,DD_TOTAL_Impressions_ROAS,OLV_TOTAL_Clicks_ROAS,OTT_TOTAL_Impressions_ROAS,PDM_TOTAL_Impressions_ROAS,POLV_TOTAL_Clicks_ROAS,Partnership_TOTAL_Impressions_ROAS,YT_DD_TOTAL_Clicks_ROAS,YT_OLV_TOTAL_Impressions_ROAS,Primary_Search_Impressions_ROAS,Secondary_Search_Impressions_ROAS,DOOH_TOTAL_Impressions_ROAS,Social_TOTAL_Impressions_ROAS,Facebook_Impressions_ROAS
183,986.9906688,3424.160417,1136.285671,520.502883,2664.856432,187.6754788,443.0458004,2024.261838,1914.972247,9087.191904,6323.958593,709.8389566,2888.284577,5756.032978,1830000,0.340862351,1.182551576,0.392422155,0.179758373,0.920322003,0.064814701,0.153008167,0.699089334,0.661345607,3.138308898,2.184011929,0.245146569,0.997484072,1.98787587
184,986.9906688,3424.163225,1138.042482,520.502883,2665.032848,188.3269233,443.0458004,2024.261838,1914.981891,9117.31112,6332.034918,709.8389566,2888.303835,5756.331918,1840000,0.339009838,1.176125629,0.390892853,0.178781425,0.915380848,0.064686204,0.152176601,0.695289936,0.65775465,3.131598167,2.174916341,0.24381425,0.992069578,1.977174876
185,986.9906688,3424.165873,1139.781683,520.502883,2665.203529,188.9761722,443.0458004,2024.261838,1914.991095,9147.278607,6340.004893,709.8389566,2888.322227,5756.621592,1850000,0.337177353,1.169769098,0.389374067,0.177815039,0.910491151,0.064558346,0.151354025,0.691531612,0.654202363,3.124908151,2.165882753,0.242496335,0.986713323,1.966586403
186,986.9906688,3424.16837,1141.503486,520.502883,2665.36866,189.6232328,443.0458004,2024.261838,1914.99988,9177.09513,6347.869918,709.8389566,2888.339792,5756.902292,1860000,0.335364571,1.163480866,0.387865701,0.176859044,0.905652147,0.06443112,0.150540293,0.6878137,0.650688131,3.118238775,2.156910639,0.241192592,0.981414381,1.956108736
187,986.9906688,3424.170725,1143.208101,520.502883,2665.528425,190.2681126,443.0458004,2024.261838,1915.008264,9206.761448,6355.631376,709.8389566,2888.356566,5757.174299,1870000,0.333571178,1.157259839,0.386367658,0.175913274,0.900863083,0.064304517,0.149735265,0.684135552,0.647211349,3.111589965,2.147999481,0.239902792,0.976171845,1.945740191
188,986.9906688,3424.172945,1144.895736,520.502883,2665.682999,190.9108189,443.0458004,2024.261838,1915.016265,9236.278319,6363.290631,709.8389566,2888.372585,5757.437887,1880000,0.331796863,1.151104948,0.384879843,0.174977565,0.896123221,0.064178531,0.148938801,0.680496533,0.643771425,3.104961648,2.139148765,0.238626713,0.970984827,1.935479119
189,986.9906688,3424.175039,1146.566595,520.502883,2665.832551,191.5513589,443.0458004,2024.261838,1915.023902,9265.646495,6370.849027,709.8389566,2888.387884,5757.693317,1890000,0.330041324,1.145015145,0.383402163,0.174051758,0.891431837,0.064053153,0.148150765,0.676896022,0.640367781,3.098353749,2.130357982,0.237364138,0.965852456,1.925323903
190,986.9906688,3424.177014,1148.22088,520.502883,2665.977245,192.1897401,443.0458004,2024.261838,1915.031191,9294.866725,6378.307893,709.8389566,2888.402494,5757.940847,1900000,0.328304265,1.138989407,0.381934524,0.173135696,0.88678822,0.063928377,0.147371024,0.673333411,0.636999849,3.091766195,2.121626626,0.236114853,0.960773882,1.915272956
191,986.9906688,3424.178876,1149.858789,520.502883,2666.11724,192.8259696,443.0458004,2024.261838,1915.038147,9323.939755,6385.668541,709.8389566,2888.416447,5758.180724,1910000,0.326585394,1.133026728,0.380476835,0.172229226,0.882191673,0.063804195,0.146599448,0.669808105,0.633667073,3.085198914,2.112954198,0.23487865,0.955748269,1.905324721
192,986.9906688,3424.180633,1151.48052,520.502883,2666.252691,193.4600548,443.0458004,2024.261838,1915.044787,9352.866327,6392.932262,709.8389566,2888.429772,5758.413186,1920000,0.324884428,1.127126125,0.379029004,0.171332199,0.877641511,0.063680601,0.145835909,0.666319522,0.630368909,3.078651832,2.104340203,0.233655323,0.9507748,1.895477674
193,986.9906688,3424.182289,1153.086265,520.502883,2666.383744,194.0920029,443.0458004,2024.261838,1915.051124,9381.647177,6400.100334,709.8389566,2888.442497,5758.638466,1930000,0.323201089,1.121286636,0.377590943,0.170444467,0.87313706,0.063557589,0.145080283,0.662867089,0.627104824,3.072124879,2.095784151,0.232444674,0.945852673,1.885730316
194,986.9906688,3424.183851,1154.676216,520.502883,2666.510544,194.721821,443.0458004,2024.261838,1915.057172,9410.28304,6407.174016,709.8389566,2888.45465,5758.856788,1940000,0.321535104,1.115507316,0.376162561,0.169565888,0.868677662,0.06343515,0.144332446,0.659450248,0.623874295,3.06561798,2.087285556,0.231246505,0.940981103,1.87608118
195,986.9906688,3424.185324,1156.25056,520.502883,2666.633229,195.3495163,443.0458004,2024.261838,1915.062945,9438.774646,6414.154551,709.8389566,2888.466256,5759.068369,1950000,0.319886207,1.109787243,0.374743771,0.168696319,0.864262667,0.063313279,0.14359228,0.656068452,0.620676811,3.059131065,2.078843937,0.230060626,0.93615932,1.866528825
196,986.9906688,3424.186713,1157.809485,520.502883,2666.751934,195.9750961,443.0458004,2024.261838,1915.068454,9467.122723,6421.043165,709.8389566,2888.47734,5759.273421,1960000,0.318254134,1.104125512,0.373334487,0.167835624,0.85989144,0.06319197,0.142859666,0.652721164,0.617511869,3.052664062,2.070458817,0.228886847,0.931386571,1.857071838
197,986.9906688,3424.188023,1159.353173,520.502883,2666.866789,196.5985674,443.0458004,2024.261838,1915.073713,9495.327993,6427.84107,709.8389566,2888.487925,5759.472146,1970000,0.316638631,1.098521234,0.371934622,0.166983666,0.855563356,0.063071216,0.14213449,0.649407859,0.614378978,3.046216899,2.062129724,0.227724985,0.926662116,1.847708831
198,986.9906688,3424.189259,1160.881805,520.502883,2666.977919,197.2199373,443.0458004,2024.261838,1915.078732,9523.391176,6434.549459,709.8389566,2888.498034,5759.664742,1980000,0.315039446,1.092973541,0.370544091,0.166140314,0.8512778,0.06295101,0.141416639,0.646128021,0.611277656,3.039789507,2.053856191,0.226574859,0.921985231,1.838438443
199,986.9906688,3424.190425,1162.39556,520.502883,2667.085445,197.8392129,443.0458004,2024.261838,1915.083522,9551.312987,6441.169511,709.8389566,2888.507688,5759.8514,1990000,0.313456333,1.087481582,0.369162811,0.165305438,0.847034172,0.062831348,0.140706003,0.642881146,0.60820743,3.033381813,2.045637754,0.225436292,0.917355205,1.829259339
200,986.9906688,3424.191524,1163.894613,520.502883,2667.189486,198.4564014,443.0458004,2024.261838,1915.088094,9579.094138,6447.702389,709.8389566,2888.516907,5760.032305,2000000,0.311889051,1.082044521,0.367790698,0.164478911,0.842831878,0.062712223,0.140002473,0.639666741,0.605167838,3.026993748,2.037473955,0.22430911,0.912771343,1.820170208
201,986.9906688,3424.19256,1165.37914,520.502883,2667.290155,199.0715096,443.0458004,2024.261838,1915.092458,9606.735339,6454.149242,709.8389566,2888.525712,5760.207637,2010000,0.310337365,1.076661541,0.36642767,0.163660608,0.838670337,0.062593629,0.139305943,0.636484319,0.602158425,3.020625241,2.029364339,0.223193145,0.90823296,1.811169764
202,986.9906688,3424.193538,1166.84931,520.502883,2667.387561,199.6845447,443.0458004,2024.261838,1915.096623,9634.237294,6460.511201,709.8389566,2888.53412,5760.377568,2020000,0.308801041,1.07133184,0.365073645,0.162850407,0.834548979,0.062475561,0.13861631,0.633333407,0.599178745,3.014276223,2.021308455,0.222088228,0.903739388,1.802256744
203,986.9906688,3424.19446,1168.305293,520.502883,2667.481811,200.2955135,443.0458004,2024.261838,1915.100598,9661.600704,6466.789386,709.8389566,2888.542151,5760.542267,2030000,0.307279854,1.06605463,0.363728545,0.162048188,0.830467244,0.062358012,0.137933471,0.630213538,0.596228364,3.007946623,2.013305858,0.220994197,0.89928997,1.793429908
204,986.9906688,3424.19533,1169.747257,520.502883,2667.573008,200.9044232,443.0458004,2024.261838,1915.104393,9688.826268,6472.984899,709.8389566,2888.54982,5760.701896,2040000,0.30577358,1.060829142,0.362392287,0.161253834,0.826424579,0.062240978,0.137257326,0.627124256,0.593306851,3.001636373,2.005356106,0.219910892,0.894884062,1.784688038
205,986.9906688,3424.196151,1171.175365,520.502883,2667.661251,201.5112805,443.0458004,2024.261838,1915.108014,9715.91468,6479.098829,709.8389566,2888.557143,5760.856613,2050000,0.304282001,1.055654618,0.361064795,0.16046723,0.822420444,0.062124453,0.136587778,0.624065113,0.590413788,2.995345404,1.997458761,0.218838156,0.890521031,1.776029941
206,986.9906688,3424.196925,1172.58978,520.502883,2667.746637,202.1160925,443.0458004,2024.261838,1915.111471,9742.866631,6485.13225,709.8389566,2888.564138,5761.006571,2060000,0.302804904,1.050530319,0.359745991,0.159688263,0.818454308,0.062008432,0.135924731,0.621035671,0.587548762,2.989073646,1.989613389,0.217775835,0.88620026,1.767454443
207,986.9906688,3424.197655,1173.990663,520.502883,2667.829258,202.718866,443.0458004,2024.261838,1915.11477,9769.682809,6491.086222,709.8389566,2888.570817,5761.151918,2070000,0.301342079,1.045455516,0.358435796,0.158916822,0.814525648,0.06189291,0.13526809,0.618035498,0.58471137,2.982821031,1.981819561,0.216723778,0.881921138,1.758960392
208,986.9906688,3424.198343,1175.378171,520.502883,2667.909205,203.3196079,443.0458004,2024.261838,1915.117919,9796.363896,6496.961791,709.8389566,2888.577196,5761.292796,2080000,0.299893319,1.040429497,0.357134137,0.158152799,0.810633951,0.061777881,0.134617762,0.615064174,0.581901214,2.976587492,1.974076852,0.215681837,0.877683071,1.750546657
209,986.9906688,3424.198993,1176.752461,520.502883,2667.986564,203.9183251,443.0458004,2024.261838,1915.120925,9822.910575,6502.75999,709.8389566,2888.583288,5761.429345,2090000,0.298458422,1.035451561,0.355840936,0.157396087,0.806778712,0.06166334,0.133973658,0.612121283,0.579117907,2.970372959,1.966384839,0.214649866,0.873485473,1.742212127
210,986.9906688,3424.199605,1178.113687,520.502883,2668.061419,204.5150243,443.0458004,2024.261838,1915.123794,9849.323521,6508.481838,709.8389566,2888.589106,5761.561698,2100000,0.297037192,1.030521024,0.354556119,0.156646582,0.802959437,0.061549284,0.133335688,0.60920642,0.576361066,2.964177364,1.958743106,0.213627724,0.869327769,1.733955711
211,986.9906688,3424.200183,1179.462,520.502883,2668.133852,205.1097124,443.0458004,2024.261838,1915.126532,9875.603409,6514.12834,709.8389566,2888.594662,5761.689985,2110000,0.295629433,1.025637211,0.353279613,0.155904181,0.799175637,0.061435705,0.132703766,0.606319186,0.573630317,2.958000642,1.951151237,0.21261527,0.865209396,1.725776337
212,986.9906688,3424.200728,1180.797552,520.502883,2668.203943,205.7023962,443.0458004,2024.261838,1915.129146,9901.750909,6519.700489,709.8389566,2888.599968,5761.814334,2120000,0.294234954,1.020799462,0.352011346,0.155168784,0.795426836,0.061322601,0.132077805,0.603459189,0.570925292,2.951842724,1.943608825,0.211612368,0.861129802,1.717672952
213,986.9906688,3424.201242,1182.120489,520.502883,2668.271766,206.2930823,443.0458004,2024.261838,1915.13164,9927.766688,6525.199262,709.8389566,2888.605035,5761.934865,2130000,0.292853569,1.016007129,0.350751244,0.154440292,0.791712562,0.061209966,0.131457721,0.600626048,0.568245632,2.945703543,1.936115462,0.210618883,0.857088442,1.709644523
214,986.9906688,3424.201727,1183.430958,520.502883,2668.337396,206.8817776,443.0458004,2024.261838,1915.134021,9953.65141,6530.625627,709.8389566,2888.609875,5762.051697,2140000,0.291485095,1.011259575,0.349499236,0.153718608,0.788032352,0.061097796,0.130843433,0.597819384,0.565590982,2.939583033,1.928670746,0.209634683,0.853084785,1.701690034
215,986.9906688,3424.202185,1184.729102,520.502883,2668.400903,207.4684887,443.0458004,2024.261838,1915.136294,9979.405734,6535.980537,709.8389566,2888.614496,5762.164944,2150000,0.29012935,1.006556177,0.348255252,0.153003638,0.784385754,0.060986086,0.130234859,0.595038829,0.562960994,2.933481127,1.921274279,0.208659637,0.849118308,1.693808486
216,986.9906688,3424.202616,1186.015066,520.502883,2668.462358,208.0532224,443.0458004,2024.261838,1915.138463,10005.03032,6541.264933,709.8389566,2888.61891,5762.274718,2160000,0.288786159,1.001896321,0.347019223,0.152295288,0.78077232,0.060874832,0.129631919,0.592284019,0.560355328,2.92739776,1.913925666,0.207693621,0.845188496,1.685998899
