,Investment,Audio_Clicks,YouTube_DD_Clicks,YouTube_OLV_Impressions,OTT_Impressions,PDM_Impressions,POLV_Clicks,Partnership_Impressions,Facebook_Impressions,Social_Impressions,DD_Impressions,OLV_Clicks,Audio_Clicks_ROAS,YouTube_DD_Clicks_ROAS,YouTube_OLV_Impressions_ROAS,OTT_Impressions_ROAS,PDM_Impressions_ROAS,POLV_Clicks_ROAS,Partnership_Impressions_ROAS,Facebook_Impressions_ROAS,Social_Impressions_ROAS,DD_Impressions_ROAS,OLV_Clicks_ROAS
269,2690000,997.7912483345666,3378.135141948743,2129.231112904798,564.0370223113465,76.1692317502673,62.0798757303244,844.4325710548526,4399.599929754346,1805.573712052178,5413.628380752941,3320.91675505754,0.2344253044414298,0.7936733865098906,0.500250581173172,0.1325172483645989,0.0178955221063825,0.01458530909351859,0.1983945668798018,1.03366065264117,0.4242091397832626,1.271900794288423,0.7802302562068274
270,2700000,997.7912483345666,3378.13519304136,2129.250314967006,564.0370223113465,76.1692317502673,62.07987573033552,844.4325710548526,4399.60112710092,1805.573713269073,5413.631424801525,3321.564992550776,0.2335570625731282,0.7907338674081998,0.4984022959478325,0.1320264437410263,0.01782924239487738,0.01453128943021187,0.1976597721876544,1.0298325601214,0.4226379951059459,1.267190763138727,0.7774922501081818
271,2710000,997.7912483345666,3378.135241345156,2129.268947547524,564.0370223113465,76.1692317502673,62.07987573034556,844.4325710548526,4399.602272278126,1805.573714405507,5413.634344809871,3322.20261513589,0.2326952283938915,0.7878160415240364,0.4965675183948468,0.1315392612917974,0.01776345183253466,0.01447766843600679,0.1969304003345634,1.026032707040508,0.4210784455735351,1.262515463439055,0.7747719751903624
272,2720000,997.7912483345666,3378.135287012356,2129.287027535651,564.0370223113465,76.1692317502673,62.07987573035465,844.4325710548526,4399.603367559024,1805.573715466799,5413.637145832431,3322.829796632313,0.2318397312306787,0.7849196696293416,0.494746103456813,0.1310556610664599,0.01769814502432681,0.0144244417138177,0.196206391509804,1.022260782462244,0.4195303632996386,1.257874513296359,0.7720692762763315
273,2730000,997.7912483345666,3378.135330186874,2129.304571319798,564.0370223113465,76.1692317502673,62.07987573036286,844.4325710548526,4399.604415117638,1805.573716457919,5413.639832717686,3323.44670801318,0.2309905014459509,0.7820445159993058,0.4929379080857554,0.1305756036999161,0.01763331665427434,0.0143716049309851,0.1954876867789988,1.018516479983278,0.4179936222715769,1.253267536365413,0.7693839998037839
274,2740000,997.7912483345666,3378.135371004769,2129.321594802337,564.0370223113465,76.1692317502673,62.0798757303703,844.4325710548526,4399.605417033267,1805.573717383506,5413.642410116557,3324.053517451941,0.2301474704187759,0.7791903483485453,0.491142791209882,0.1300990504017412,0.01756896148400326,0.01431915381810001,0.1947742280681266,1.014799497651469,0.4164680983161956,1.248694161749512,0.7667159938064331
275,2750000,997.7912483345666,3378.135409594677,2129.338113414019,564.0370223113465,76.1692317502673,62.07987573037703,844.4325710548526,4399.606375294613,1805.573718247894,5413.64488249044,3324.650390368194,0.229310570526344,0.7763569377686675,0.4893606137009673,0.1296259629457349,0.01750507435133416,0.01426708416785392,0.1940659581478788,1.011109537885889,0.4149536690664251,1.244154023903258,0.7640651078955267
276,2760000,997.7912483345666,3378.135446078207,2129.354142127959,564.0370223113465,76.1692317502673,62.07987573038311,844.4325710548526,4399.60729180373,1805.573719055128,5413.647254118941,3325.237489472788,0.2284797351258863,0.7735440586671836,0.4875912383423442,0.1291563036596996,0.01744165016890179,0.01421539183391381,0.1933628206183576,1.007446307398535,0.4134502139285655,1.239646762537381,0.7614311932415949
277,2770000,997.7912483345666,3378.135480570333,2129.369695473213,564.0370223113465,76.1692317502673,62.07987573038861,844.4325710548526,4399.608168379795,1805.573719808988,5413.649529107276,3325.814974812181,0.2276548985369841,0.7707514887077438,0.4858345297974985,0.1286900354154408,0.01737868392280467,0.01416407272982152,0.1926647598941035,1.0038095171177,0.4119576140502818,1.235172022525559,0.7588141025564253
278,2780000,997.7912483345666,3378.135513179755,2129.384787547941,564.0370223113465,76.1692317502673,62.0798757303936,844.4325710548526,4399.609006762724,1805.573720513003,5413.651711393383,3326.383003812061,0.2268359960242612,0.7679790087516564,0.4840903545792443,0.1282271216189824,0.01731617067128379,0.01411312282791682,0.1919717211894485,1.000198882112964,0.410475752289287,1.230729453813172,0.7562136900752598
